sat_id,x,y,z,Vx,Vy,Vz
167,99.89592416378689,99.91370044197085,99.92730366112899,99.96619441599239,99.96925392675607,99.96033516765428
168,99.79139444563826,99.83784296695478,99.78754853735552,98.09952678036893,98.7429391256706,99.22229894619662
169,99.66383373775922,99.3404876997476,99.55241359843178,99.46911586048864,99.69793340952207,99.64197441384617
170,99.7561997453891,99.37259349783787,99.39521971067524,99.79786824094192,99.68218307003869,99.82470742333498
171,99.05179817800075,99.43649059629897,98.39861584489066,99.11349746812067,99.56906060979725,99.46818298639461
172,99.86732314341427,99.7259395852701,99.69617554871806,99.84955304274922,99.81388044717285,99.87388259681214
173,99.90560943508204,99.50845368324302,99.62361896041054,99.86187608967431,99.88916496456547,99.88254858727338
174,99.38441529733403,99.84711831960514,99.56455905106165,99.64827811875077,99.52010120973375,99.65565453851852
175,98.56193821228293,98.62405898259797,95.76286945101027,96.65945936937578,90.84196756867259,94.53939480526064
176,99.83457227827427,99.69835128594569,99.69522327070017,96.86290325544363,97.28121130222917,97.59897558823508
177,99.85467919554287,99.85719075099048,99.84537800545283,99.66210285162612,99.03117702295276,99.24808092355141
178,99.93756559995094,99.95553859245884,99.87074775993176,99.92610249628233,99.88006314983521,99.9158392183978
179,98.23079433218072,97.3825076262001,92.36980755118546,96.98434680228065,98.28104801248969,95.57781601048134
180,99.98181210292252,99.9758460576963,99.97598129438285,99.9747810770105,99.94122697598415,99.93695030040762
181,99.77115288987373,99.05868702361867,99.50265958979972,99.72320866890715,99.71693764995112,99.63011046263198
182,99.97497941889013,99.96774716330101,99.90024780153408,99.95472768935555,99.98674024562312,99.97225232526569
183,99.94590686716892,99.8502471689639,99.92669767679284,99.98302990706804,99.9864075570102,99.95787298920456
184,99.3277860087958,99.8318525119265,99.74736328670369,98.99249929207787,99.6449716601397,99.72199428537974
185,99.92218684879623,99.8125201158307,99.90524540746979,99.64491281138636,99.90874531142312,99.74333453494337
186,99.66369249467178,99.84958277869255,99.99594524299712,99.67752733624326,99.72588857260456,99.99102334719964
187,99.93957035963365,99.87666648040022,99.94148912281112,98.66105450871711,99.20707765548129,98.33782096873504
188,99.83649767320443,99.77150223072091,99.56818598111148,99.83206598669638,99.86458263090057,99.83752815093607
189,99.52754587493136,99.42364760694952,99.8164338109084,99.68577314191538,99.74976902032844,99.79647305263967
190,99.94264540200216,99.85074533697623,99.92833473311289,99.73580746649748,99.89298179330713,97.53454916362455
191,99.89112623389835,99.886805654901,99.83805624605331,98.67703250163365,97.59786481628696,99.04523722616007
